Orderregel,MachineNaam,Sum of VOCA in uur,Status
172627,Laser 4,0.26,InProgress
172628,Laser 4,0.26,InProgress
172630,Laser 4,0.26,InProgress
172631,Laser 4,0.26,InProgress
173045,Laser 4,0.82,InProgress
173049,Laser 4,1,InProgress
173342,Laser 4,0.29,InProgress
173344,Laser 4,0.29,InProgress
173346,Laser 4,0.31,InProgress
173348,Laser 4,0.29,InProgress
173350,Laser 4,0.33,InProgress
173352,Laser 4,0.33,InProgress
173354,Laser 4,0.29,InProgress
173445,Giant,0.55,InProgress
173447,Laser 2,0.42,InProgress
173563,Laser 2,0.25,InProgress
173690,Laser 2,0.67,InProgress
173723,Laser 2,0.56,InProgress
173729,Laser 2,0.58,InProgress
173789,,0.12,InProgress
173861,Laser 2,5.5,InProgress
173862,Laser 2,1.61,InProgress
174095,Laser 4,2.13,InProgress
174096,Laser 4,4,InProgress
174097,Laser 4,2.08,InProgress
174104,Laser 4,0.68,InProgress
174159,Laser 3,0.75,InProgress
174235,Laser 4,4.97,InProgress
174325,Flash_Cut 1,0.25,InProgress
174340,Laser 3,1.32,InProgress
174346,Stikken Secrid,0.62,InProgress
174347,Stikken Secrid,0.43,InProgress
174399,Quad,5.03,InProgress
174400,Quad,6.71,InProgress
173224,Assemblage 1,0.17,InProgress
173850,Giant,4.63,InProgress
174088,Laser 2,1.41,InProgress
174106,Snijmachine,1.14,InProgress
174114,Degel 1,0.73,InProgress
174115,Degel 1,0.73,InProgress
174213,Snijmachine,0.42,InProgress
174357,Laser 4,0.86,InProgress
171705,Quad,34.14,InProgress
171706,Quad,12.63,InProgress
171707,Quad,12.64,InProgress
173576,Laser 2,1.16,InProgress
173832,Verzenden,0.32,InProgress
173833,Laser 4,0.33,InProgress
173834,Laser 4,0.48,InProgress
173835,Laser 4,0.42,InProgress
173836,Laser 4,0.14,InProgress
173838,Laser 4,0.27,InProgress
173839,Buigmachine,0.07,InProgress
173904,Flash_Cut 2,16.19,InProgress
173905,Flash_Cut 2,4.28,InProgress
173915,Quad,9.02,InProgress
174040,Assemblage Secrid,2.22,InProgress
174073,Chiesa,2.47,InProgress
174100,Chiesa,3.98,InProgress
174160,Laser 2,4.57,InProgress
174164,Assemblage Secrid,7.78,InProgress
174165,Assemblage Secrid,5.56,InProgress
174166,Assemblage Secrid,5.56,InProgress
174167,Assemblage Secrid,8.89,InProgress
174168,Assemblage Secrid,2.26,InProgress
174169,Assemblage Secrid,5.56,InProgress
174170,Assemblage Secrid,10,InProgress
174171,Assemblage Secrid,5.56,InProgress
174172,Assemblage Secrid,16.67,InProgress
174173,Assemblage Secrid,3.33,InProgress
174174,Assemblage Secrid,8.89,InProgress
174175,Assemblage Secrid,1.11,InProgress
174176,Assemblage Secrid,4.44,InProgress
174177,Assemblage Secrid,5.56,InProgress
174178,Assemblage Secrid,1.11,InProgress
174182,Assemblage Secrid,0.69,InProgress
174206,Flash_Cut 5,1.22,InProgress
174418,Stikken Secrid,30.83,InProgress
174419,Stikken Secrid,104.83,InProgress
174420,Stikken Secrid,24.67,InProgress
174421,Stikken Secrid,18.5,InProgress
174431,,19.11,InProgress
174432,,6.17,InProgress
174433,,19,InProgress
174434,Stikken Secrid,12.33,InProgress
174435,Stikken Secrid,6.17,InProgress
174436,Stikken Secrid,24.67,InProgress
174437,Stikken Secrid,18.5,InProgress
174438,Stikken Secrid,61.67,InProgress
174439,Stikken Secrid,30.83,InProgress
174440,Stikken Secrid,1.97,InProgress
174441,Stikken Secrid,10.42,InProgress
174443,Stikken Secrid,6.17,InProgress
174444,Stikken Secrid,30.83,InProgress
174445,Stikken Secrid,2.47,InProgress
174446,Stikken Secrid,12.33,InProgress
171439,Laser 3,0.86,InProgress
171443,Laser 4,3.92,InProgress
171715,Quad,16.99,InProgress
171716,Quad,4.24,InProgress
171717,Quad,6.12,InProgress
171784,Quad,9.39,InProgress
173117,Laser 4,0.01,InProgress
173140,Degel 4,12.92,InProgress
173141,Degel 4,11.25,InProgress
173142,Degel 4,44.78,InProgress
173143,Degel 4,27,InProgress
173263,Degel 1,3.4,InProgress
173314,Laser 2,0.25,InProgress
173792,Laser 2,3.67,InProgress
173921,Quad,17.11,InProgress
173922,Quad,6.04,InProgress
174063,Degel 3,4.15,InProgress
174330,Quad,5.03,InProgress
174331,Quad,5.87,InProgress
174332,Quad,3.36,InProgress
174334,Quad,3.36,InProgress
174335,Quad,3.36,InProgress
174336,Flash_Cut 1,4.19,InProgress
174338,Flash_Cut 2,0.37,InProgress
172639,Atom,51.5,InProgress
172640,,0,InProgress
172927,Atom,26.92,InProgress
172928,Giant,0,InProgress
173457,Chiesa,18,InProgress
173827,Degel 1,18.19,InProgress
173830,Laser 2,3.91,InProgress
173831,Laser 2,0.77,InProgress
174343,Flash_Cut 2,1.74,InProgress
174460,Flash_Cut 1,0.25,InProgress
173356,Giant,1.27,InProgress
174697,Quad,7.55,InProgress
171691,Quad,68.79,InProgress
171692,Quad,33.56,InProgress
171693,Quad,8.39,InProgress
171722,Quad,17.2,InProgress
172209,Verzenden,111.19,InProgress
172721,Degel 1,7.67,InProgress
172722,Degel 1,7.33,InProgress
173062,Laser 3,26.64,InProgress
173600,Degel 1,1.58,InProgress
173601,Degel 1,2.25,InProgress
173602,Degel 3,1.28,InProgress
173603,Degel 3,3.33,InProgress
173766,Atom,4.17,InProgress
173772,Atom,4.98,InProgress
173778,Atom,2.77,InProgress
173793,Snijmachine,10.25,InProgress
173807,Chiesa,14.08,InProgress
173808,Assemblage drankverpakkingen,299.98,InProgress
173927,Quad,9.52,InProgress
173928,Quad,1.93,InProgress
174183,Quad,6.74,InProgress
174184,Quad,3.19,InProgress
174237,Degel 1,5.25,InProgress
174238,Degel 1,4.97,InProgress
174268,Snijmachine,0.41,InProgress
174270,Degel 4,2.27,InProgress
174272,Degel 4,2.08,InProgress
174273,Degel 4,2.08,InProgress
174274,Degel 4,4.17,InProgress
174291,Brugstans,1.17,InProgress
174292,Brugstans,4.21,InProgress
174293,Brugstans,0.56,InProgress
174294,Brugstans,0.56,InProgress
174316,Laser 4,37.75,InProgress
174447,Assemblage Secrid,1.51,InProgress
174448,Assemblage Secrid,11.11,InProgress
174449,Assemblage Secrid,8.89,InProgress
174450,Assemblage Secrid,3.33,InProgress
174451,Assemblage Secrid,11.11,InProgress
174452,Assemblage Secrid,4.44,InProgress
174453,Assemblage Secrid,3.26,InProgress
174454,Assemblage Secrid,4.56,InProgress
174455,Assemblage Secrid,2.22,InProgress
174456,Assemblage Secrid,5.56,InProgress
174463,Degel 1,5.83,InProgress
174543,Chiesa,2.66,InProgress
174699,Laserstansen,0.35,InProgress
174700,Laserstansen,0.07,InProgress
174792,Sysco,0.53,InProgress
174821,,5.17,InProgress
174825,Stikken Secrid,24.67,InProgress
174826,Stikken Secrid,6.17,InProgress
174827,Stikken Secrid,12.33,InProgress
174828,Stikken Secrid,37,InProgress
174829,Stikken Secrid,30.83,InProgress
174830,Stikken Secrid,39.17,InProgress
174831,Stikken Secrid,43.17,InProgress
174832,Stikken Secrid,30.83,InProgress
174833,Stikken Secrid,18.5,InProgress
174834,Stikken Secrid,12.33,InProgress
174835,Stikken Secrid,18.5,InProgress
174836,Stikken Secrid,12.33,InProgress
174837,Stikken Secrid,18.5,InProgress
174838,Stikken Secrid,30.83,InProgress
174839,Stikken Secrid,12.33,InProgress
174840,Stikken Secrid,18.5,InProgress
174878,Laser 3,2.11,InProgress
174285,Laser 2,1.64,InProgress
174286,Laser 2,2.29,InProgress
174287,Laser 2,2.29,InProgress
173689,Assemblage drankverpakkingen,55.33,InProgress
173692,Assemblage drankverpakkingen,81.67,InProgress
173890,Degel 1,3.33,InProgress
174427,Laserstansen,1.3,InProgress
174501,Atom,0.25,InProgress
174511,Flash_Cut 5,0.25,InProgress
174513,Laserstansen,0.25,InProgress
174582,Laser 4,5.25,InProgress
174584,Laser 3,0.82,InProgress
174605,Laser 3,0.25,InProgress
174610,Laser 3,2.05,InProgress
174665,Quad,10.85,InProgress
174666,Quad,13.42,InProgress
174667,Quad,3.36,InProgress
174668,Flash_Cut 1,2.52,InProgress
174669,Flash_Cut 2,0.93,InProgress
174670,Quad,4.19,InProgress
174671,Stikken Secrid,24.67,InProgress
174673,Quad,5.87,InProgress
174682,Laser 3,1.42,InProgress
174752,Giant,1.25,InProgress
174754,Giant,3.26,InProgress
174890,Stikken Secrid,12.33,InProgress
174892,Quad,3.36,InProgress
174901,Laser 4,7.5,InProgress
174278,Flash_Cut 3,0.72,InProgress
174566,Giant,0.79,InProgress
174897,Giant,2.11,InProgress
174958,Quad,2.52,InProgress
172955,Degel 1,4.33,InProgress
172956,Degel 1,4.33,InProgress
174258,Freesmachine,0.33,InProgress
174259,Buigmachine,0.22,InProgress
174260,Assemblage 1,0.5,InProgress
174464,Degel 1,4.92,InProgress
174465,Degel 1,3.42,InProgress
174603,Laser 2,0.66,InProgress
174604,Laser 2,1.02,InProgress
174615,Laser 2,2.29,InProgress
174616,Laser 2,0.68,InProgress
174728,Giant,0.25,InProgress
175024,Chiesa,2.03,InProgress
173797,Laser 4,0.02,InProgress
173798,Laser 4,0.01,InProgress
173799,Laser 4,0.46,InProgress
173800,Laser 4,0.69,InProgress
173801,Laser 4,3.83,InProgress
173802,Laser 4,0.04,InProgress
174119,Giant,21.48,InProgress
174246,Laser 4,0.22,InProgress
174247,Laser 4,0.04,InProgress
174248,Laser 4,0.46,InProgress
174249,Laser 4,4.08,InProgress
174250,Laser 4,0.21,InProgress
174251,Laser 4,0.62,InProgress
174252,Laser 4,0.03,InProgress
174253,Laser 4,0.42,InProgress
174254,Laser 4,0.27,InProgress
