Orderregel,MachineNaam,Sum of VOCA in uur,Status
175761,Laser 3,2,InProgress
175981,Quad,3.36,InProgress
174871,Giant,6.08,InProgress
174872,Chiesa,11.26,InProgress
174904,Degel 1,9.91,InProgress
175196,Atom,3.94,InProgress
175203,Atom,0.93,InProgress
175206,Atom,8.16,InProgress
175522,Flash_Cut 5,0.31,InProgress
175535,Laser 3,0.91,InProgress
175613,Atom,2.77,InProgress
175633,Atom,2.35,InProgress
175636,Giant,1.67,InProgress
175804,Freesmachine,1.44,InProgress
175805,Freesmachine,2.19,InProgress
175983,Stikken Secrid,12.33,InProgress
169553,Quad,75.5,InProgress
169554,Quad,4.24,InProgress
169555,Quad,20.97,InProgress
175318,Quad,10.78,InProgress
175319,Quad,0.84,InProgress
175327,Quad,16.82,InProgress
175328,Quad,4.32,InProgress
175332,Quad,12.08,InProgress
175333,Quad,9.18,InProgress
174558,Chiesa,0.5,InProgress
175181,Chiesa,0.83,InProgress
175415,Sysco,9.1,InProgress
174194,Quad,8.39,InProgress
174195,Quad,10.33,InProgress
174200,Quad,45.11,InProgress
174201,Quad,8.39,InProgress
175301,Quad,8.39,InProgress
175323,Quad,33.64,InProgress
175590,Assemblage Secrid,1.11,InProgress
175608,Assemblage Secrid,1.57,InProgress
175703,Assemblage Secrid,2.22,InProgress
175704,Assemblage Secrid,11.11,InProgress
175705,Assemblage Secrid,8.89,InProgress
175706,Assemblage Secrid,4.44,InProgress
175707,Assemblage Secrid,8.89,InProgress
175708,Assemblage Secrid,5.56,InProgress
175709,Assemblage Secrid,3.33,InProgress
175710,Assemblage Secrid,7.78,InProgress
176062,Stikken Secrid,12.33,InProgress
176063,Stikken Secrid,3.08,InProgress
176064,Stikken Secrid,14.25,InProgress
176065,Stikken Secrid,15.42,InProgress
176066,Stikken Secrid,18.5,InProgress
176067,Stikken Secrid,18.5,InProgress
176068,Stikken Secrid,6.17,InProgress
176069,Stikken Secrid,18.5,InProgress
176070,Stikken Secrid,12.33,InProgress
176071,Stikken Secrid,15.42,InProgress
176072,Stikken Secrid,12.33,InProgress
176073,Stikken Secrid,15.42,InProgress
174634,Quad,18.58,InProgress
174929,Brugstans,25.63,InProgress
175465,Degel 1,8.47,InProgress
175468,Atom,5.9,InProgress
175470,Atom,7.15,InProgress
175735,Laser 3,5.28,InProgress
176114,Degel 2,0.42,InProgress
176141,Giant,0.27,InProgress
176142,Giant,0.28,InProgress
176143,Giant,0.01,InProgress
176144,Giant,0.02,InProgress
176154,Assemblage 1,3.75,InProgress
172506,Laser 1,43.98,InProgress
173870,Giant,56.63,InProgress
174049,Giant,52.64,InProgress
174189,Quad,21.94,InProgress
174800,Degel 1,8.68,InProgress
174951,Degel 4,43.06,InProgress
175237,Atom,4.17,InProgress
175298,Flash_Cut 5,1.2,InProgress
175337,Quad,5.16,InProgress
175609,Atom,2.01,InProgress
175624,Atom,2.35,InProgress
175628,Atom,4.22,InProgress
175639,Atom,2.16,InProgress
175652,Laser 4,0.25,InProgress
175656,Giant,0.7,InProgress
175660,Giant,2.01,InProgress
175661,Giant,0.65,InProgress
175666,Quad,2.32,InProgress
175667,Quad,0.37,InProgress
175668,Quad,0.48,InProgress
175813,Chiesa,1.67,InProgress
175814,Chiesa,2.5,InProgress
175815,Chiesa,5,InProgress
175895,Quad,10.07,InProgress
175898,Stikken Secrid,9.25,InProgress
175899,Quad,5.87,InProgress
175900,Stikken Secrid,40.08,InProgress
175901,Quad,0.84,InProgress
175902,Quad,5.03,InProgress
175904,Quad,12.58,InProgress
175905,Quad,4.19,InProgress
175908,Quad,4.19,InProgress
174639,Chiesa,0.5,InProgress
174921,Flash_Cut 3,125.25,InProgress
174922,Giant,41.67,InProgress
174923,Giant,41.67,InProgress
175455,Chiesa,6.37,InProgress
175598,Laser 4,0.33,InProgress
175664,Stikken Secrid,5.98,InProgress
175714,Degel 4,4.07,InProgress
175740,Freesmachine,0.25,InProgress
175741,Freesmachine,0.25,InProgress
175742,Laser 4,0.25,InProgress
175922,Laser 4,5.25,InProgress
176008,Giant,0.25,InProgress
176181,Giant,1.95,InProgress
176284,Quad,7.55,InProgress
175984,Chiesa,0.36,InProgress
175985,Chiesa,0.11,InProgress
172211,Verzenden,111.11,InProgress
174220,Quad,48.84,InProgress
175272,Laser 4,0.27,InProgress
175273,Laser 4,0.12,InProgress
175275,Laser 4,0.41,InProgress
175277,Laser 4,1.69,InProgress
175278,Laser 4,0.92,InProgress
175279,Laser 4,1.47,InProgress
175280,Laser 4,0.46,InProgress
175281,Laser 4,0.62,InProgress
175282,Laser 4,1.04,InProgress
175283,Laser 4,0.84,InProgress
175284,Laser 4,0.87,InProgress
175285,Laser 4,0.47,InProgress
175286,Laser 4,0.69,InProgress
175287,Laser 4,0.49,InProgress
175290,Laser 4,0.79,InProgress
175291,Buigmachine,2.17,InProgress
175292,Laser 4,0.15,InProgress
175293,Buigmachine,0.42,InProgress
175294,Freesmachine,0.31,InProgress
175295,Buigmachine,0.5,InProgress
175296,Assemblage 1,1.06,InProgress
175365,Quad,8.72,InProgress
175366,Quad,2.56,InProgress
175367,Quad,0.92,InProgress
175371,Quad,15.65,InProgress
175372,Quad,6.96,InProgress
175438,Verzenden,0.29,InProgress
175439,Laser 4,1.27,InProgress
175440,Laser 4,0.14,InProgress
175441,Laser 4,0.14,InProgress
175483,Flash_Cut 5,0.26,InProgress
175484,,2.18,InProgress
175519,Giant,37.72,InProgress
175528,Laser 4,0.44,InProgress
175529,Buigmachine,2.09,InProgress
175600,Laser 4,2.15,InProgress
175762,Laser 4,0.47,InProgress
175765,Laser 4,0.14,InProgress
175766,Laser 4,0.62,InProgress
175797,Giant,8.25,InProgress
175798,,5.76,InProgress
176010,Quad,19.19,InProgress
176026,Quad,12.92,InProgress
176027,Quad,4.21,InProgress
176044,Laser 4,0.25,InProgress
176049,Assemblage Secrid,8.89,InProgress
176050,Assemblage Secrid,16.67,InProgress
176051,Assemblage Secrid,10,InProgress
176052,Assemblage Secrid,5.56,InProgress
176139,Flash_Cut 5,5.08,InProgress
176140,Flash_Cut 5,0.33,InProgress
176362,,5.17,InProgress
176363,Zwenkarm stans,2.51,InProgress
176364,Stikken Secrid,21.58,InProgress
176365,Stikken Secrid,15.42,InProgress
176366,Stikken Secrid,3.08,InProgress
176367,Stikken Secrid,15.42,InProgress
176368,Stikken Secrid,15.42,InProgress
176369,Stikken Secrid,6.17,InProgress
176370,Stikken Secrid,18.5,InProgress
176371,Stikken Secrid,18.5,InProgress
176372,Stikken Secrid,12.33,InProgress
176373,Stikken Secrid,9.25,InProgress
176374,Stikken Secrid,3.08,InProgress
175341,Quad,16.86,InProgress
175342,Quad,3.36,InProgress
175343,Quad,6.04,InProgress
175809,Laser 1,16.29,InProgress
175816,Giant,1.97,InProgress
175835,Laser 3,12.75,InProgress
176015,Quad,25.96,InProgress
176016,Quad,8.47,InProgress
176236,Laser 3,0.83,InProgress
176238,Laser 3,0.58,InProgress
172855,Degel 2,55.22,InProgress
176075,Degel 1,8.86,InProgress
176101,Laser 2,1.65,InProgress
176220,Quad,5.03,InProgress
176222,Quad,5.03,InProgress
176242,Quad,0.84,InProgress
176243,Quad,9.23,InProgress
176255,Laser 2,0.91,InProgress
176274,Giant,1.92,InProgress
176297,Flash_Cut 5,1.22,InProgress
176298,Laser 4,0.83,InProgress
176300,Giant,1.34,InProgress
176530,Quad,3.36,InProgress
176531,Quad,4.19,InProgress
176532,Quad,10.91,InProgress
176533,Quad,7.55,InProgress
176043,Giant,0.5,InProgress
176259,Laser 4,0.25,InProgress
176263,Laser 4,0.25,InProgress
176399,Giant,9.92,InProgress
176477,Degel 2,0,InProgress
175852,Laser 4,0.47,InProgress
175853,Buigmachine,1.09,InProgress
175854,Laser 4,0.37,InProgress
175855,Laser 4,0.09,InProgress
175856,Laser 4,0.43,InProgress
175857,Laser 4,4.58,InProgress
175858,Laser 4,0.48,InProgress
175861,Laser 4,2.38,InProgress
175862,Laser 4,0.48,InProgress
175863,Laser 4,0.28,InProgress
175864,Laser 4,1.06,InProgress
175865,Laser 4,0.36,InProgress
175866,Laser 4,0.74,InProgress
175867,Laser 4,1.01,InProgress
175868,Laser 4,0.09,InProgress
175869,Laser 4,0.94,InProgress
175870,Laser 4,0.11,InProgress
175872,Freesmachine,0.06,InProgress
175873,Buigmachine,0.1,InProgress
175874,Assemblage 1,0.1,InProgress
175876,Freesmachine,0.18,InProgress
175877,Buigmachine,0.1,InProgress
175878,Assemblage 1,0.17,InProgress
175880,Freesmachine,0.06,InProgress
175881,Buigmachine,0.1,InProgress
175882,Assemblage 1,0.05,InProgress
175885,Freesmachine,0.28,InProgress
175886,Buigmachine,0.5,InProgress
175887,Assemblage 1,0.56,InProgress
176247,Sysco,0.25,InProgress
176377,Degel 4,4.33,InProgress
173948,Quad,24.03,InProgress
174551,Chiesa,0.5,InProgress
174746,Zwenkarm stans,5.31,InProgress
175592,Giant,22.09,InProgress
175932,Chiesa,0.25,InProgress
175936,Chiesa,0.25,InProgress
175943,Chiesa,0.25,InProgress
175944,Chiesa,0.25,InProgress
175955,Chiesa,0.25,InProgress
175956,Chiesa,0.25,InProgress
175958,Brugstans,0.58,InProgress
175959,Brugstans,0.29,InProgress
175963,Chiesa,0.25,InProgress
175964,Chiesa,0.25,InProgress
175967,Chiesa,0.25,InProgress
176033,Quad,17.99,InProgress
176288,Degel 1,4.07,InProgress
176359,Laser 2,20.25,InProgress
176380,Assemblage Secrid,22.22,InProgress
176385,Assemblage Secrid,10,InProgress
176387,Assemblage Secrid,10,InProgress
176388,Assemblage Secrid,2.22,InProgress
176390,Assemblage Secrid,4.44,InProgress
176391,Assemblage Secrid,3.38,InProgress
176392,Assemblage Secrid,5.56,InProgress
176393,Assemblage Secrid,3.33,InProgress
176394,Assemblage Secrid,1.11,InProgress
176567,Giant,0.8,InProgress
176585,Stikken Secrid,12.33,InProgress
176586,Stikken Secrid,18.5,InProgress
176587,Zwenkarm stans,9.5,InProgress
176588,Stikken Secrid,6.17,InProgress
176589,Stikken Secrid,18.5,InProgress
176590,Stikken Secrid,9.25,InProgress
176591,Stikken Secrid,6.17,InProgress
176592,Stikken Secrid,3.08,InProgress
176593,Stikken Secrid,3.08,InProgress
176594,Stikken Secrid,3.08,InProgress
176595,Stikken Secrid,18.5,InProgress
174952,Degel 4,43.06,InProgress
175021,Degel 4,25.83,InProgress
175549,Chiesa,3.55,InProgress
175800,,0.25,InProgress
176054,Chiesa,3.17,InProgress
176293,Giant,0.86,InProgress
176440,Assemblage 1,3.71,InProgress
172642,Atom,26,InProgress
172643,,0,InProgress
173583,Atom,51.5,InProgress
173584,,0,InProgress
174066,Atom,94,InProgress
174301,Atom,26.92,InProgress
174302,Giant,0,InProgress
174544,Chiesa,0.71,InProgress
174545,Chiesa,0.67,InProgress
174546,Chiesa,0.51,InProgress
174550,Chiesa,3.08,InProgress
174852,Chiesa,14.08,InProgress
174853,Assemblage drankverpakkingen,290.12,InProgress
175057,Giant,26.15,InProgress
175603,Snijmachine,4.87,InProgress
175777,Degel 3,5.22,InProgress
176225,Laser 2,0.27,InProgress
176230,Giant,26.83,InProgress
176502,Laser 3,29.17,InProgress
176513,Stikken Secrid,52.42,InProgress
176516,Quad,4.95,InProgress
176123,Degel 1,18.19,InProgress
176880,Stikken Secrid,6.17,InProgress
171403,Hengsel,25.86,InProgress
175594,Atom,10.5,InProgress
176538,Degel 1,0.01,InProgress
176845,Giant,0.25,InProgress
174858,Chiesa,13.36,InProgress
174859,Assemblage drankverpakkingen,264.08,InProgress
175351,Quad,14.26,InProgress
175361,Quad,12.58,InProgress
176105,Quad,17.07,InProgress
176345,Laser 3,1.15,InProgress
176488,Snijmachine,3.67,InProgress
176491,Snijmachine,1.14,InProgress
176494,Snijmachine,1.86,InProgress
176597,Assemblage Secrid,2.22,InProgress
176600,Assemblage Secrid,22.22,InProgress
176601,Assemblage Secrid,5.56,InProgress
176602,Assemblage Secrid,6.67,InProgress
176603,Assemblage Secrid,6.67,InProgress
176604,Assemblage Secrid,2.22,InProgress
176605,Assemblage Secrid,1.11,InProgress
176706,Flash_Cut 5,3.5,InProgress
176747,Laser 4,0.44,InProgress
176748,Laser 4,2.26,InProgress
176749,Laser 4,0.03,InProgress
176750,Laser 4,0.09,InProgress
176840,Giant,0.25,InProgress
176923,,28.5,InProgress
176925,Stikken Secrid,9.25,InProgress
176926,Stikken Secrid,18.5,InProgress
176927,Stikken Secrid,6.17,InProgress
176928,Stikken Secrid,18.5,InProgress
176929,Stikken Secrid,26.95,InProgress
176930,Stikken Secrid,11.01,InProgress
176931,Stikken Secrid,14.77,InProgress
176932,Stikken Secrid,4.44,InProgress
176933,Stikken Secrid,21.58,InProgress
176934,Stikken Secrid,6.17,InProgress
176935,Stikken Secrid,4.75,InProgress
176941,Stikken Secrid,3.08,InProgress
176942,Stikken Secrid,30.83,InProgress
176943,Stikken Secrid,26.64,InProgress
176945,Stikken Secrid,18.5,InProgress
176946,Stikken Secrid,18.5,InProgress
174653,Chiesa,17.97,InProgress
176185,Laser 4,0.46,InProgress
176186,Laser 4,1.81,InProgress
176188,Laser 4,0.42,InProgress
176189,Buigmachine,0.54,InProgress
176190,Laser 4,6.13,InProgress
176191,Laser 4,0.92,InProgress
176192,Laser 4,0.02,InProgress
176193,Laser 4,1.46,InProgress
176194,Laser 4,0.49,InProgress
176195,Laser 4,0.68,InProgress
176196,Laser 4,0.12,InProgress
176203,Degel 2,23.83,InProgress
176402,Degel 1,1.37,InProgress
176446,Atom,3.02,InProgress
176450,Atom,3.06,InProgress
176453,Atom,9.36,InProgress
176457,Atom,2.45,InProgress
176480,Snijmachine,0.83,InProgress
176575,Flash_Cut 2,13.91,InProgress
176709,Quad,14.85,InProgress
176800,Laser 4,1.3,InProgress
176879,Laser 4,0.25,InProgress
174358,Degel 3,7.22,InProgress
174359,Degel 3,7.3,InProgress
174360,Assemblage 1,7.25,InProgress
175553,Chiesa,7.13,InProgress
176501,Laser 4,12.22,InProgress
176534,Laser 2,0.28,InProgress
176535,Laser 4,0.31,InProgress
176536,Laser 2,0.35,InProgress
176549,Giant,4.14,InProgress
176683,Chiesa 150 ton,29,InProgress
176786,Laser 3,27.78,InProgress
176820,Quad,3.3,InProgress
176884,Giant,0.25,InProgress
177002,Laser 2,2.18,InProgress
177025,Giant,0.83,InProgress
177132,Quad,5.03,InProgress
176353,Atom,3.57,InProgress
176542,Atom,4.07,InProgress
176561,Slitmachine,0.25,InProgress
176637,Giant,1.05,InProgress
174855,Chiesa,14.17,InProgress
174856,Assemblage drankverpakkingen,299.98,InProgress
176558,Giant,3.21,InProgress
176643,Degel 1,5.17,InProgress
176663,Giant,0.19,InProgress
176664,Giant,0.19,InProgress
176665,Giant,0.14,InProgress
176806,Degel 1,3.87,InProgress
176807,Degel 1,7.29,InProgress
176916,Laser 1,0.25,InProgress
177009,Laser 4,2.85,InProgress
177126,Laser 2,2.06,InProgress
176160,Laser 4,0.61,InProgress
176170,Laser 4,0.35,InProgress
176174,Freesmachine,0.33,InProgress
176177,Buigmachine,0.33,InProgress
176178,Assemblage 1,0.67,InProgress
176596,Laser 4,0.04,InProgress
176599,Laser 4,0.31,InProgress
176606,Laser 4,0.21,InProgress
176607,Laser 4,0.63,InProgress
176608,Laser 4,0.88,InProgress
176609,Laser 4,1.2,InProgress
176615,Laser 4,0.4,InProgress
176616,Buigmachine,0.67,InProgress
176617,Freesmachine,0.31,InProgress
176618,Buigmachine,0.35,InProgress
176619,Assemblage 1,0.1,InProgress
176620,Freesmachine,1.85,InProgress
176621,Buigmachine,1.67,InProgress
176622,Assemblage 1,1.75,InProgress
176623,Freesmachine,0.86,InProgress
176624,Buigmachine,1,InProgress
176625,Assemblage 1,2.11,InProgress
176687,Quad,54.78,InProgress
176688,Quad,16.78,InProgress
176689,Quad,8.39,InProgress
176792,Laser 4,3.49,InProgress
176793,Laser 4,0.92,InProgress
176794,Laser 4,0.11,InProgress
176795,Laser 4,1.27,InProgress
176947,Assemblage Secrid,6.67,InProgress
176948,Assemblage Secrid,2.26,InProgress
176949,Assemblage Secrid,15.56,InProgress
176950,Assemblage Secrid,2.22,InProgress
176951,Assemblage Secrid,5.69,InProgress
176952,Assemblage Secrid,7.54,InProgress
176953,Assemblage Secrid,0.63,InProgress
176987,Laser 2,0.27,InProgress
177038,Brugstans,9.12,InProgress
177058,Quad,3.36,InProgress
177089,Laser 4,0.36,InProgress
177090,Laser 4,0.48,InProgress
177091,Laser 2,0.56,InProgress
177093,Laser 4,0.27,InProgress
177094,Laser 4,0.36,InProgress
177194,Stikken Secrid,9.25,InProgress
177195,Stikken Secrid,24.67,InProgress
177197,Stikken Secrid,3.08,InProgress
177199,Stikken Secrid,9.25,InProgress
177200,Stikken Secrid,12.33,InProgress
177201,Stikken Secrid,9.25,InProgress
177202,Stikken Secrid,3.08,InProgress
177203,Stikken Secrid,9.25,InProgress
177204,Stikken Secrid,6.17,InProgress
177205,Stikken Secrid,6.17,InProgress
174950,Degel 4,88.26,InProgress
175546,Degel 2,17.02,InProgress
175671,Degel 1,3.09,InProgress
175674,Degel 1,1.92,InProgress
176233,Giant,1.24,InProgress
176357,Atom,3.5,InProgress
176826,Zünd Groot,0.5,InProgress
177012,Degel 1,7.66,InProgress
177032,Laser 3,0.25,InProgress
174429,Laser 2,0.36,InProgress
174442,Laser 2,0.06,InProgress
174457,Laser 2,0.06,InProgress
175173,Chiesa,18,InProgress
175212,Flash_Cut 5,2.43,InProgress
175213,Flash_Cut 5,1.6,InProgress
175911,Laser 3,7.19,InProgress
176156,Degel 2,6.67,InProgress
176375,Atom,5.35,InProgress
176381,Atom,1.41,InProgress
176396,Atom,2.41,InProgress
176546,Laser 3,25.89,InProgress
176666,Giant,0.08,InProgress
176848,Flash_Cut 2,4.09,InProgress
176849,Giant,1.69,InProgress
176851,Giant,1.85,InProgress
176960,Flash_Cut 2,1.13,InProgress
176961,Flash_Cut 2,0.58,InProgress
177016,Flash_Cut 2,1.13,InProgress
177017,Flash_Cut 2,0.58,InProgress
177018,Flash_Cut 2,1.59,InProgress
177020,Flash_Cut 2,1.62,InProgress
177021,Giant,1.19,InProgress
177065,Quad,52.51,InProgress
177082,Laser 3,6.57,InProgress
177110,Giant,0.25,InProgress
177114,Quad,10.07,InProgress
177115,Quad,1.68,InProgress
177120,Quad,2.52,InProgress
177122,Stikken Secrid,18.5,InProgress
177123,Quad,5.03,InProgress
177124,Quad,10.73,InProgress
177158,Chiesa 150 ton,9.87,InProgress
176667,Degel 4,17.17,InProgress
176671,Degel 4,18.67,InProgress
176673,Degel 4,17.83,InProgress
176674,Degel 4,17.17,InProgress
176720,Chiesa,2.61,InProgress
177056,Chiesa,4.26,InProgress
177432,Chiesa,7.89,InProgress
174861,Chiesa,14.17,InProgress
174862,Assemblage drankverpakkingen,296.13,InProgress
175068,Quad,6.54,InProgress
176641,Chiesa,4.88,InProgress
177153,Flash_Cut 3,0.58,InProgress
177221,Laser 4,2.33,InProgress
172213,Verzenden,111.11,InProgress
174747,Zwenkarm stans,5.02,InProgress
175099,Laser 4,8.58,InProgress
175376,Quad,12.67,InProgress
175377,Quad,4.19,InProgress
175428,Verzenden,0.25,InProgress
175769,Freesmachine,0.27,InProgress
175770,Laser 4,0.12,InProgress
175771,Assemblage 1,0.03,InProgress
175915,Atom,51.5,InProgress
175917,,0.1,InProgress
176544,Giant,23.26,InProgress
176646,Laser 4,0.51,InProgress
176647,Laser 4,0.88,InProgress
176648,Laser 4,0.06,InProgress
176651,Freesmachine,0.27,InProgress
176652,Buigmachine,0.04,InProgress
176653,Assemblage 1,0.07,InProgress
176659,Zünd Groot,0.5,InProgress
176694,Quad,50.33,InProgress
176695,Quad,21.06,InProgress
176865,Quad,4.67,InProgress
176912,Freesmachine,0.56,InProgress
176913,Buigmachine,0.4,InProgress
176914,Assemblage 1,0.89,InProgress
176955,Degel 1,0.81,InProgress
176995,Laser 4,0.38,InProgress
176998,Freesmachine,0.25,InProgress
176999,Buigmachine,0.42,InProgress
177063,Zünd Groot,0.25,InProgress
177134,Zünd Groot,0.25,InProgress
177144,Laser 4,0.79,InProgress
177206,Assemblage Secrid,22.22,InProgress
177207,Assemblage Secrid,3.33,InProgress
177208,Assemblage Secrid,1.11,InProgress
177209,Assemblage Secrid,1.11,InProgress
177210,Assemblage Secrid,1.11,InProgress
177217,Flash_Cut 5,0.25,InProgress
177227,Flash_Cut 5,0.25,InProgress
177377,Zünd Groot,0.25,InProgress
177390,Zünd Groot,4.18,InProgress
177391,Zünd Groot,4.91,InProgress
177392,Zünd Groot,3.93,InProgress
177510,Stikken Secrid,9.25,InProgress
177511,Stikken Secrid,28.5,InProgress
177512,Stikken Secrid,15.42,InProgress
177513,Stikken Secrid,15.42,InProgress
177554,Giant,0.25,InProgress
177556,Giant,0.25,InProgress
176355,Chiesa,2.08,InProgress
176827,Zünd Groot,0.5,InProgress
177086,Chiesa,5.23,InProgress
177096,Giant,0.45,InProgress
177097,Flash_Cut 5,0.2,InProgress
177098,Giant,0.2,InProgress
177101,Brugstans,5.5,InProgress
177102,Brugstans,1.13,InProgress
177157,Degel 1,3.13,InProgress
177189,Flash_Cut 1,0.59,InProgress
177290,Snijmachine,1.14,InProgress
177291,Snijmachine,1.14,InProgress
173967,Sysco,72.63,InProgress
175988,Degel 2,1.2,InProgress
176119,Atom,27.17,InProgress
176120,Giant,0,InProgress
176461,Chiesa,11.3,InProgress
176522,Chiesa 150 ton,2.5,InProgress
176701,Flash_Cut 1,22.61,InProgress
176729,Chiesa 150 ton,4.94,InProgress
176730,,0.5,InProgress
176741,Quad,5.79,InProgress
176878,Laserstansen,21.49,InProgress
177078,Chiesa,1.5,InProgress
177079,Chiesa,2.5,InProgress
177080,Chiesa,0.83,InProgress
177163,Chiesa 150 ton,26.1,InProgress
177188,Laser 4,0.25,InProgress
177294,Laser 3,9.72,InProgress
177295,Quad,2.47,InProgress
177313,Atom,5.78,InProgress
177371,Quad,3.36,InProgress
177373,Quad,5.03,InProgress
177374,Quad,5.03,InProgress
177375,Quad,4.19,InProgress
177376,Quad,11.74,InProgress
177381,Quad,4.19,InProgress
177382,Quad,3.36,InProgress
177383,Stikken Secrid,15.42,InProgress
177577,Laserstansen,2.68,InProgress
177579,Quad,2.48,InProgress
174361,Assemblage 1,9.51,InProgress
177274,Giant,0.25,InProgress
177282,Zünd Groot,0.25,InProgress
177409,Laser 4,0.25,InProgress
177411,Laser 4,0.25,InProgress
177412,Laser 4,0.25,InProgress
177765,Stikken Secrid,9.25,InProgress
177772,Stikken Secrid,18.5,InProgress
177773,Quad,4.19,InProgress
176498,Laser 4,3.86,InProgress
177143,Giant,0.25,InProgress
177231,Brugstans,0.7,InProgress
177232,Brugstans,4.21,InProgress
177233,Brugstans,0.56,InProgress
177234,Brugstans,0.56,InProgress
177551,Degel 1,3.36,InProgress
173103,Laser 2,96.43,InProgress
174738,Zwenkarm stans,5.24,InProgress
175355,Quad,20.13,InProgress
175356,Quad,25.17,InProgress
175580,Giant,0.27,InProgress
175581,Giant,0.19,InProgress
175582,Laser 3,0.31,InProgress
175586,Laser 3,0.45,InProgress
175588,Laser 3,0.34,InProgress
175939,Chiesa,0.25,InProgress
175940,Chiesa,0.25,InProgress
176021,Quad,5.87,InProgress
176244,Laser 4,0.75,InProgress
176271,Giant,0.48,InProgress
176301,Laser 4,0.72,InProgress
176640,Quad,1.8,InProgress
176714,Quad,16.86,InProgress
176724,Quad,9.77,InProgress
176725,Quad,3.72,InProgress
176855,Quad,6.51,InProgress
176860,Quad,4.8,InProgress
176899,Laser 3,0.65,InProgress
177088,Laser 3,0.66,InProgress
177092,Laser 2,0.09,InProgress
177148,Laser 3,0.18,InProgress
177178,Laser 3,0.76,InProgress
177179,Laser 3,0.38,InProgress
177180,Laser 3,0.4,InProgress
177213,Laser 4,0.28,InProgress
177214,Laser 4,0.39,InProgress
177215,Laser 4,0.22,InProgress
177246,Laser 4,4.52,InProgress
177248,Laser 4,0.19,InProgress
177299,Laser 4,0.62,InProgress
177301,,0,InProgress
177302,,0,InProgress
177444,Quad,3.48,InProgress
177449,Quad,3.25,InProgress
177471,Atom Groot,0.33,InProgress
177514,Assemblage Secrid,6.67,InProgress
177515,Assemblage Secrid,3.33,InProgress
177516,Assemblage Secrid,15.56,InProgress
177517,Assemblage Secrid,6.67,InProgress
177518,Assemblage Secrid,4.44,InProgress
177519,Assemblage Secrid,2.22,InProgress
177526,Quad,30.62,InProgress
177527,Laser 4,0.57,InProgress
177528,Laser 4,0.27,InProgress
177530,Laser 4,0.42,InProgress
177546,Zünd Groot,3.93,InProgress
177547,Zünd Groot,2.95,InProgress
177548,Zünd Groot,3.93,InProgress
177570,Laser 4,0.84,InProgress
177573,Laser 4,0.19,InProgress
177574,Laser 4,0.09,InProgress
177590,Laser 4,0.27,InProgress
177596,Zünd Groot,0.25,InProgress
177635,Laser 4,0.37,InProgress
177741,Laser 4,0.1,InProgress
177764,Snijmachine,4.79,InProgress
177894,,19,InProgress
177895,,28.5,InProgress
177897,Stikken Secrid,15.42,InProgress
177898,Stikken Secrid,3.08,InProgress
177899,Stikken Secrid,3.08,InProgress
177900,Stikken Secrid,12.33,InProgress
177901,Stikken Secrid,3.08,InProgress
177902,Stikken Secrid,12.33,InProgress
177907,Stikken Secrid,15.42,InProgress
177908,Stikken Secrid,3.08,InProgress
177909,Stikken Secrid,6.17,InProgress
177910,Stikken Secrid,18.5,InProgress
177911,Stikken Secrid,15.42,InProgress
177912,Stikken Secrid,15.42,InProgress
177913,Stikken Secrid,12.33,InProgress
176668,Degel 4,17.72,InProgress
176670,Degel 4,34.72,InProgress
176672,Degel 4,33.83,InProgress
176829,Degel 4,25.25,InProgress
177239,Degel 1,1.53,InProgress
177663,Snijmachine,7.04,InProgress
175947,Chiesa,0.25,InProgress
175948,Chiesa,0.25,InProgress
175951,Chiesa,0.25,InProgress
175952,Chiesa,0.25,InProgress
176003,Chiesa,2.54,InProgress
176685,Chiesa 150 ton,6.05,InProgress
176722,Chiesa 150 ton,2.26,InProgress
177169,Atom,5.74,InProgress
177224,Giant,7.53,InProgress
177305,Zünd Groot,0.25,InProgress
177438,Giant,4.14,InProgress
177477,Atom Groot,0.33,InProgress
177507,Flash_Cut 1,0.72,InProgress
177523,Flash_Cut 1,0.47,InProgress
177651,Laser 3,20.83,InProgress
177689,Laser 4,0.55,InProgress
177691,Giant,2,InProgress
177710,Quad,5.03,InProgress
177712,Flash_Cut 2,7.55,InProgress
177713,Flash_Cut 1,2.52,InProgress
177714,Stikken Secrid,70.92,InProgress
177715,Quad,17.33,InProgress
177718,Quad,5.03,InProgress
166630,Preegmachine Omac,23.1,InProgress
175314,Sysco,1.25,InProgress
175712,Chiesa,14.08,InProgress
175713,Assemblage drankverpakkingen,299.98,InProgress
177242,Atom,3.4,InProgress
177253,Laser 2,3.08,InProgress
177352,Degel 1,8.51,InProgress
177776,Laser 4,1.28,InProgress
177795,Degel 2,4.13,InProgress
178255,Quad,0.84,InProgress
178256,Quad,2.52,InProgress
178257,Quad,3.36,InProgress
177171,Chiesa 150 ton,11.75,InProgress
177172,Chiesa 150 ton,27.1,InProgress
177585,Flash_Cut 3,8.42,InProgress
172509,Laser 1,68.15,InProgress
172864,Verzenden,0,InProgress
174739,Zwenkarm stans,5.02,InProgress
174748,Zwenkarm stans,5.02,InProgress
175357,Quad,5.2,InProgress
176768,Quad,7.96,InProgress
176870,Quad,4.71,InProgress
176871,Quad,2.79,InProgress
176872,Quad,1.86,InProgress
177167,Chiesa 150 ton,16.25,InProgress
177284,Laser 4,0.41,InProgress
177287,Laser 2,0.54,InProgress
177288,Buigmachine,3.01,InProgress
177357,Degel 1,19.85,InProgress
